EUR/USD,20090601 00:26:43.015,1.4102,1.41029
EUR/USD,20090601 00:26:43.035,1.4102,1.41029
EUR/USD,20090601 00:26:43.070,1.41019,1.41029
EUR/USD,20090601 00:26:43.259,1.41029,1.41029
EUR/USD,20090601 00:26:43.262,1.41029,1.4103
EUR/USD,20090601 00:26:43.275,1.41029,1.41029
EUR/USD,20090601 00:26:43.518,1.41029,1.4103
EUR/USD,20090601 00:26:43.526,1.41029,1.41029
EUR/USD,20090601 00:26:43.997,1.41014,1.41028
EUR/USD,20090601 00:26:44.495,1.41011,1.4103
EUR/USD,20090601 00:26:44.760,1.41032,1.41039
EUR/USD,20090601 00:26:45.761,1.41029,1.4104
EUR/USD,20090601 00:26:45.762,1.41027,1.4104
EUR/USD,20090601 00:26:45.993,1.41028,1.4104
EUR/USD,20090601 00:26:46.478,1.41027,1.4104
EUR/USD,20090601 00:26:50.015,1.41034,1.41038
EUR/USD,20090601 00:26:50.016,1.41032,1.4104
EUR/USD,20090601 00:26:50.035,1.41032,1.41039
EUR/USD,20090601 00:26:51.015,1.41029,1.41039
EUR/USD,20090601 00:26:51.016,1.41027,1.41039
EUR/USD,20090601 00:26:51.259,1.41034,1.41038
EUR/USD,20090601 00:26:51.260,1.41032,1.41039
EUR/USD,20090601 00:26:51.513,1.41031,1.4104
EUR/USD,20090601 00:26:51.532,1.41028,1.41039
EUR/USD,20090601 00:26:51.575,1.41027,1.41039
EUR/USD,20090601 00:26:52.260,1.41034,1.41038
EUR/USD,20090601 00:26:52.510,1.41031,1.4104
EUR/USD,20090601 00:26:52.511,1.41031,1.41039
EUR/USD,20090601 00:26:52.519,1.41028,1.41039
EUR/USD,20090601 00:26:52.589,1.41027,1.41039
EUR/USD,20090601 00:26:56.258,1.41034,1.41038
EUR/USD,20090601 00:26:56.259,1.41032,1.41039
EUR/USD,20090601 00:26:56.268,1.41032,1.4104
EUR/USD,20090601 00:26:56.510,1.41031,1.4104
EUR/USD,20090601 00:26:56.513,1.41029,1.4104
EUR/USD,20090601 00:26:56.519,1.41029,1.41039
EUR/USD,20090601 00:26:57.259,1.41034,1.41038
EUR/USD,20090601 00:26:57.495,1.41034,1.41037
EUR/USD,20090601 00:26:57.499,1.41034,1.41038
EUR/USD,20090601 00:26:59.509,1.41024,1.41039
