EUR/USD,20090601 00:01:10.511,1.41058,1.41067
EUR/USD,20090601 00:01:10.761,1.41058,1.41071
EUR/USD,20090601 00:01:10.762,1.41058,1.41069
EUR/USD,20090601 00:01:10.771,1.41053,1.41062
EUR/USD,20090601 00:01:10.775,1.41054,1.41062
EUR/USD,20090601 00:01:10.839,1.41053,1.41062
EUR/USD,20090601 00:01:15.516,1.41055,1.41062
EUR/USD,20090601 00:01:15.518,1.41053,1.41062
EUR/USD,20090601 00:01:15.538,1.41058,1.41063
EUR/USD,20090601 00:01:15.571,1.41058,1.41069
EUR/USD,20090601 00:01:18.033,1.41053,1.41069
EUR/USD,20090601 00:01:18.072,1.41053,1.41064
EUR/USD,20090601 00:01:18.343,1.41053,1.41062
EUR/USD,20090601 00:01:18.658,1.41053,1.41061
EUR/USD,20090601 00:01:18.689,1.41053,1.4106
EUR/USD,20090601 00:01:18.767,1.4105,1.4106
EUR/USD,20090601 00:01:18.794,1.4105,1.41058
EUR/USD,20090601 00:01:18.795,1.41039,1.41048
EUR/USD,20090601 00:01:18.814,1.41043,1.41048
EUR/USD,20090601 00:01:20.012,1.41039,1.41048
EUR/USD,20090601 00:01:20.013,1.41041,1.41048
EUR/USD,20090601 00:01:21.263,1.41039,1.41048
EUR/USD,20090601 00:01:23.574,1.41039,1.4105
EUR/USD,20090601 00:01:26.303,1.4104,1.4105
EUR/USD,20090601 00:01:28.291,1.4104,1.4105
EUR/USD,20090601 00:01:31.011,1.41039,1.4105
EUR/USD,20090601 00:01:33.608,1.41041,1.41051
EUR/USD,20090601 00:01:37.401,1.41042,1.41051
EUR/USD,20090601 00:01:37.516,1.41042,1.41047
EUR/USD,20090601 00:01:37.567,1.41037,1.41047
EUR/USD,20090601 00:01:38.025,1.41037,1.41052
EUR/USD,20090601 00:01:38.026,1.41037,1.41049
EUR/USD,20090601 00:01:38.043,1.41033,1.41041
EUR/USD,20090601 00:01:40.265,1.41033,1.41041
EUR/USD,20090601 00:01:40.309,1.41032,1.41041
EUR/USD,20090601 00:01:40.452,1.41032,1.41041
EUR/USD,20090601 00:01:42.017,1.41032,1.4104
EUR/USD,20090601 00:01:46.510,1.41032,1.41038
EUR/USD,20090601 00:01:47.510,1.41033,1.4104
EUR/USD,20090601 00:01:49.263,1.41032,1.41041
EUR/USD,20090601 00:01:58.274,1.41029,1.41041
EUR/USD,20090601 00:01:58.310,1.41023,1.41036
EUR/USD,20090601 00:01:58.452,1.41024,1.41037
EUR/USD,20090601 00:02:00.259,1.41026,1.41033
EUR/USD,20090601 00:02:00.274,1.41027,1.41033
EUR/USD,20090601 00:02:02.014,1.4103,1.4104
EUR/USD,20090601 00:02:02.015,1.41027,1.41041
EUR/USD,20090601 00:02:02.026,1.41032,1.41041
EUR/USD,20090601 00:02:02.069,1.41032,1.41041
EUR/USD,20090601 00:02:12.510,1.41033,1.4104
EUR/USD,20090601 00:02:12.512,1.41032,1.41041
